episode,return,length
360,165.71808439366163,169
361,163.78069192538462,192
362,151.3069799958947,170
363,158.31193487236024,193
364,166.59215768177197,169
365,166.35066651941017,193
366,156.67246942950936,179
367,157.68367088647753,169
368,154.84714920845346,196
369,166.16796911337698,185
370,156.58400668330307,187
371,161.98579314986,180
372,164.82586003171588,169
373,161.99768432790466,197
374,157.25031871095308,191
375,166.2572147831905,187
376,159.43070292229484,190
377,161.12206786490182,199
378,161.06161569211918,189
379,160.78048507871853,176
380,160.23313013933836,192
381,156.73318149185278,181
382,157.70511882346264,169
383,165.7552795791896,195
384,160.46194653269922,169
385,164.1168085018101,192
386,153.65077149606057,186
387,160.9370291475248,188
388,161.32842634835177,205
389,163.60971145809984,169
390,161.436639491159,185
391,164.1706150897381,170
392,163.38114790899323,169
393,159.58508741805298,177
394,165.8740988982429,199
395,167.0965717000302,170
396,162.79748567626913,191
397,164.33485718509016,169
398,157.58041380350608,169
399,163.87717498460347,170
400,154.06212633673545,169
401,159.75047312237984,184
402,156.1306195417778,192
403,163.6826975942828,193
404,159.16193069248388,187
405,164.070913983815,190
406,153.29581383436334,182
407,156.20375287536993,183
408,167.67643056719692,170
409,159.7985804128298,193
410,162.03446454074904,196
411,152.17743068836336,185
412,158.8604427585381,180
413,164.69529413458298,169
414,160.46113314194193,169
415,157.13079039554572,191
416,160.49876164466986,183
417,158.5747880951242,174
418,164.38689814468526,187
419,159.55881077733437,192
420,157.9049110288176,188
421,167.72552812440472,169
422,161.6151884814174,189
423,158.80067129047862,196
424,157.68680699790931,189
425,165.46366929615104,175
426,163.6495920554645,188
427,155.2031492536134,200
428,162.85679350525106,176
429,154.43106340462725,179
430,151.81660908944755,190
431,163.81081979925233,182
432,156.58890244908525,195
433,162.71762478936398,184
434,157.9621775028502,191
435,160.46195560093489,169
436,161.481688808242,190
437,162.02810021722183,178
438,166.96155794358012,169
439,163.71791443669014,169
440,157.08712584716193,182
441,156.26952669397835,186
442,155.23000846302605,172
443,163.6892666741549,172
444,160.47205362317385,187
445,156.97032225584948,189
446,157.75606906801042,180
447,156.58400562052714,190
448,162.4702192680751,185
449,164.44768151482504,192
450,166.4856832487233,169
451,163.24901469385767,169
452,166.1564260731377,169
453,159.74262378089364,169
454,156.26952373020606,193
455,162.460298099377,194
456,155.0713678394844,190
457,163.0476027256851,191
458,166.5971380180236,169
459,161.38497019485828,169
460,165.0434937958847,191
461,159.0838242141566,194
462,155.6080734052406,190
463,163.35060004742888,169
464,160.4175753435162,195
465,158.17918367441249,191
466,165.0581769533959,192
467,160.8094117424862,192
468,161.54502367949854,189
469,159.11359990940394,169
470,160.35003076514317,199
471,156.2305141366401,186
472,158.9004957109018,191
473,158.24619728537996,171
474,158.17684395070188,190
475,162.26413914407686,190
476,158.80066855413975,197
477,165.0717660154082,169
478,163.1072343633846,200
479,162.2535427629608,170
480,163.9216851313521,169
481,163.11859898643218,194
482,160.71913584209656,189
483,160.71365781383187,192
484,156.53690375196044,194
485,158.0066498795999,198
486,163.04760200289456,195
487,160.02357819823158,191
488,164.07279638448205,193
489,156.53690287023508,194
490,166.09836953336924,169
